api_id,vendor,api_name,endpoint,method,business_unit,authentication,tls_enabled,rate_limit,public_exposure,last_used,status,risk_score,risk_level
API0534,Auth0,Recommendation API,/api/v1/recommendation,PUT,Analytics,None,False,False,True,2025-12-13 15:05:31.468053,Zombie,100,Critical
API0031,Google Cloud,Logging API,/api/v1/logging,POST,Finance,OAuth2,True,True,True,2025-08-13 15:05:31.461450,Zombie,60,High
API0236,KPMG,Notification API,/api/v1/notification,GET,Finance,JWT,False,False,False,2026-02-16 15:05:31.464979,Deprecated,50,Moderate
API0512,Stripe,Admin API,/api/v1/admin,DELETE,DevOps,JWT,False,False,True,2026-01-22 15:05:31.467875,Active,80,High
API0498,Wipro,Search API,/api/v1/search,GET,DevOps,OAuth2,True,True,True,2025-10-24 15:05:31.467760,Zombie,60,High
API0010,Check Point,Recommendation API,/api/v1/recommendation,DELETE,Identity,Basic,False,True,False,2026-04-07 15:05:31.460455,Active,30,Moderate
API0529,Auth0,Payment API,/api/v1/payment,DELETE,CRM,API Key,False,False,True,2026-06-22 15:05:31.468017,Active,80,High
API0326,Zscaler,Authentication API,/api/v1/authentication,PUT,HR,OAuth2,False,False,False,2025-09-09 15:05:31.466256,Deprecated,50,Moderate
API0105,Cloudflare,Admin API,/api/v1/admin,PUT,HR,OAuth2,True,True,True,2026-04-02 15:05:31.462662,Active,40,Moderate
API0447,Accenture,Audit API,/api/v1/audit,PUT,Storage,API Key,False,True,False,2026-02-20 15:05:31.467293,Deprecated,40,Moderate
API0371,ServiceNow,Search API,/api/v1/search,POST,CRM,API Key,False,True,True,2026-06-15 15:05:31.466668,Active,70,High
API0159,Palo Alto Networks,Recommendation API,/api/v1/recommendation,PUT,Storage,API Key,True,False,True,2026-04-26 15:05:31.463504,Active,50,Moderate
API0250,Okta,CRM API,/api/v1/crm,DELETE,DevOps,API Key,False,True,False,2026-04-27 15:05:31.465198,Active,30,Moderate
API0317,Zscaler,User API,/api/v1/user,POST,Analytics,API Key,False,True,False,2026-04-22 15:05:31.466187,Active,30,Moderate
API0077,CrowdStrike,Authorization API,/api/v1/authorization,PUT,Analytics,API Key,True,True,True,2025-07-07 15:05:31.462257,Zombie,60,High
API0536,Auth0,File Upload API,/api/v1/file-upload,GET,DevOps,None,False,True,False,2025-07-28 15:05:31.468069,Deprecated,60,High
API0071,Cisco,Billing API,/api/v1/billing,POST,CRM,None,True,True,True,2026-01-20 15:05:31.462160,Active,60,High
API0487,Mastercard,File Upload API,/api/v1/file-upload,POST,DevOps,JWT,True,True,False,2026-01-26 15:05:31.467669,Deprecated,10,Low
API0461,Ping Identity,Logging API,/api/v1/logging,GET,HR,Basic,True,False,True,2026-02-19 15:05:31.467410,Active,50,Moderate
API0369,ServiceNow,Customer API,/api/v1/customer,DELETE,HR,JWT,False,True,False,2026-04-27 15:05:31.466651,Active,30,Moderate
API0272,Trend Micro,Authorization API,/api/v1/authorization,POST,Storage,Basic,False,False,True,2025-11-24 15:05:31.465550,Zombie,100,Critical
API0133,IBM Cloud,Audit API,/api/v1/audit,DELETE,Analytics,JWT,True,True,True,2026-01-16 15:05:31.463095,Active,40,Moderate
API0079,CrowdStrike,Email API,/api/v1/email,DELETE,Finance,None,False,True,False,2026-06-20 15:05:31.462286,Active,50,Moderate
API0150,Fortinet,Customer API,/api/v1/customer,POST,Finance,Basic,False,True,True,2026-02-05 15:05:31.463345,Active,70,High
API0336,PayPal,Search API,/api/v1/search,PUT,Finance,None,True,False,False,2025-09-09 15:05:31.466341,Deprecated,40,Moderate
API0209,EY,Email API,/api/v1/email,PUT,Identity,OAuth2,True,False,False,2025-11-25 15:05:31.464196,Deprecated,20,Low
API0069,Cisco,Storage API,/api/v1/storage,PUT,Finance,JWT,False,False,False,2026-06-06 15:05:31.462134,Active,40,Moderate
API0251,Okta,Analytics API,/api/v1/analytics,DELETE,CRM,API Key,False,False,False,2026-06-22 15:05:31.465214,Active,40,Moderate
API0064,Cisco,Notification API,/api/v1/notification,PUT,CRM,JWT,True,False,False,2026-01-11 15:05:31.462064,Deprecated,20,Low
API0235,KPMG,User API,/api/v1/user,DELETE,Storage,Basic,False,True,False,2025-06-23 15:05:31.464965,Deprecated,40,Moderate
API0210,EY,Payment API,/api/v1/payment,DELETE,Finance,JWT,True,False,False,2026-01-31 15:05:31.464209,Deprecated,20,Low
API0083,CrowdStrike,Customer API,/api/v1/customer,GET,Identity,Basic,False,True,True,2026-02-13 15:05:31.462337,Active,70,High
API0193,Deloitte,Customer API,/api/v1/customer,GET,Analytics,None,True,False,False,2025-07-12 15:05:31.463969,Deprecated,40,Moderate
API0034,Google Cloud,Profile API,/api/v1/profile,DELETE,CRM,JWT,False,True,False,2026-05-19 15:05:31.461505,Active,30,Moderate
API0085,CrowdStrike,User API,/api/v1/user,DELETE,Payments,JWT,True,False,True,2026-01-12 15:05:31.462361,Active,50,Moderate
API0178,Snowflake,Database API,/api/v1/database,PUT,DevOps,API Key,True,False,False,2025-11-11 15:05:31.463767,Deprecated,20,Low
API0001,Check Point,User API,/api/v1/user,PUT,Payments,API Key,True,True,False,2026-01-02 15:05:31.460348,Deprecated,10,Low
API0012,Check Point,Customer API,/api/v1/customer,DELETE,Finance,API Key,False,False,True,2026-04-12 15:05:31.460495,Active,80,High
API0473,Workday,Storage API,/api/v1/storage,DELETE,Analytics,None,False,False,False,2026-05-29 15:05:31.467544,Active,60,High
API0023,AWS,Billing API,/api/v1/billing,PUT,CRM,Basic,True,True,True,2025-11-10 15:05:31.461315,Zombie,60,High
API0357,Visa,Admin API,/api/v1/admin,DELETE,Payments,OAuth2,False,False,False,2025-09-22 15:05:31.466550,Deprecated,50,Moderate
API0091,Cloudflare,User API,/api/v1/user,PUT,Analytics,API Key,True,True,True,2025-07-22 15:05:31.462449,Zombie,60,High
API0090,CrowdStrike,Recommendation API,/api/v1/recommendation,DELETE,CRM,Basic,True,True,False,2026-04-29 15:05:31.462421,Active,0,Low
API0154,Palo Alto Networks,Payment API,/api/v1/payment,POST,CRM,API Key,False,True,False,2026-05-02 15:05:31.463422,Active,30,Moderate
API0278,Trend Micro,Email API,/api/v1/email,POST,DevOps,JWT,True,False,False,2026-02-05 15:05:31.465634,Deprecated,20,Low
API0138,Fortinet,Audit API,/api/v1/audit,POST,Storage,JWT,True,True,False,2025-07-16 15:05:31.463182,Deprecated,10,Low
API0377,Infosys,Recommendation API,/api/v1/recommendation,PUT,HR,None,False,True,True,2025-11-30 15:05:31.466721,Zombie,100,Critical
API0132,IBM Cloud,CRM API,/api/v1/crm,DELETE,CRM,Basic,False,False,False,2026-06-13 15:05:31.463082,Active,40,Moderate
API0430,Databricks,File Upload API,/api/v1/file-upload,POST,Storage,OAuth2,False,False,False,2026-05-25 15:05:31.467155,Active,40,Moderate
API0019,AWS,Payment API,/api/v1/payment,POST,Analytics,Basic,True,False,True,2026-03-12 15:05:31.461260,Active,50,Moderate
API0281,Trend Micro,CRM API,/api/v1/crm,POST,Identity,API Key,False,True,True,2026-02-11 15:05:31.465672,Active,70,High
API0449,Accenture,Database API,/api/v1/database,DELETE,CRM,JWT,False,False,False,2026-03-09 15:05:31.467308,Active,40,Moderate
API0016,AWS,Analytics API,/api/v1/analytics,GET,Identity,API Key,False,True,True,2026-04-03 15:05:31.461209,Active,70,High
API0308,PwC,Authentication API,/api/v1/authentication,PUT,Payments,API Key,True,True,True,2025-08-21 15:05:31.466104,Zombie,60,High
API0040,Google Cloud,Customer API,/api/v1/customer,GET,Storage,JWT,True,True,False,2026-04-05 15:05:31.461578,Active,0,Low
API0499,Wipro,User API,/api/v1/user,GET,HR,None,False,False,False,2025-11-01 15:05:31.467767,Deprecated,70,High
API0149,Fortinet,Email API,/api/v1/email,PUT,CRM,API Key,False,False,False,2026-03-29 15:05:31.463331,Active,40,Moderate
API0047,Oracle,Admin API,/api/v1/admin,DELETE,Payments,API Key,True,False,False,2025-09-14 15:05:31.461823,Deprecated,20,Low
API0094,Cloudflare,Authentication API,/api/v1/authentication,GET,HR,API Key,True,False,False,2026-05-28 15:05:31.462506,Active,10,Low
API0407,MongoDB,Audit API,/api/v1/audit,DELETE,DevOps,None,True,True,True,2026-04-19 15:05:31.466964,Active,60,High
API0183,Deloitte,Billing API,/api/v1/billing,GET,HR,None,False,False,False,2026-03-24 15:05:31.463845,Active,60,High
API0245,Okta,Authorization API,/api/v1/authorization,PUT,CRM,API Key,True,True,True,2025-07-18 15:05:31.465134,Zombie,60,High
API0540,Auth0,Billing API,/api/v1/billing,GET,CRM,API Key,True,True,False,2025-06-28 15:05:31.468105,Deprecated,10,Low
API0391,Redis,File Upload API,/api/v1/file-upload,DELETE,Storage,None,False,False,False,2025-08-07 15:05:31.466837,Deprecated,70,High
API0454,Ping Identity,Admin API,/api/v1/admin,POST,Payments,None,True,True,True,2026-03-24 15:05:31.467353,Active,60,High
API0353,Visa,Audit API,/api/v1/audit,POST,Payments,API Key,True,False,True,2026-04-09 15:05:31.466508,Active,50,Moderate
API0256,Oracle Cloud,Profile API,/api/v1/profile,PUT,DevOps,OAuth2,True,True,False,2025-10-31 15:05:31.465299,Deprecated,10,Low
API0306,PwC,Billing API,/api/v1/billing,PUT,HR,JWT,True,True,False,2025-10-30 15:05:31.466080,Deprecated,10,Low
API0519,Stripe,Audit API,/api/v1/audit,GET,Identity,None,True,False,False,2025-08-19 15:05:31.467927,Deprecated,40,Moderate
API0401,Redis,Profile API,/api/v1/profile,GET,Identity,None,False,False,False,2025-07-26 15:05:31.466911,Deprecated,70,High
API0319,Zscaler,Database API,/api/v1/database,GET,DevOps,None,True,False,False,2026-01-05 15:05:31.466202,Deprecated,40,Moderate
API0239,KPMG,Billing API,/api/v1/billing,PUT,HR,API Key,False,True,False,2026-03-13 15:05:31.465031,Active,30,Moderate
API0537,Auth0,Email API,/api/v1/email,PUT,Finance,None,True,False,True,2026-05-06 15:05:31.468077,Active,70,High
API0490,Mastercard,Payment API,/api/v1/payment,POST,Analytics,None,False,False,True,2025-07-11 15:05:31.467692,Zombie,100,Critical
API0385,Infosys,Notification API,/api/v1/notification,PUT,Identity,None,False,False,True,2025-07-07 15:05:31.466784,Zombie,100,Critical
API0070,Cisco,Email API,/api/v1/email,POST,Identity,JWT,False,True,True,2025-08-24 15:05:31.462147,Zombie,90,Critical
API0383,Infosys,User API,/api/v1/user,DELETE,Finance,OAuth2,True,False,False,2025-12-04 15:05:31.466768,Deprecated,20,Low
API0323,Zscaler,Payment API,/api/v1/payment,GET,CRM,OAuth2,True,False,True,2025-09-02 15:05:31.466231,Zombie,70,High
API0347,Visa,Authentication API,/api/v1/authentication,POST,Finance,JWT,True,False,False,2026-06-03 15:05:31.466434,Active,10,Low
API0356,Visa,Storage API,/api/v1/storage,PUT,DevOps,None,True,True,True,2026-02-17 15:05:31.466543,Active,60,High
API0156,Palo Alto Networks,Storage API,/api/v1/storage,PUT,Identity,Basic,True,False,False,2025-08-08 15:05:31.463450,Deprecated,20,Low
API0248,Okta,Profile API,/api/v1/profile,POST,Finance,Basic,True,False,True,2025-07-01 15:05:31.465173,Zombie,70,High
API0125,IBM Cloud,Authorization API,/api/v1/authorization,GET,Analytics,None,False,False,True,2026-03-21 15:05:31.462975,Active,100,Critical
API0382,Infosys,Authorization API,/api/v1/authorization,GET,Storage,Basic,True,True,True,2025-11-26 15:05:31.466761,Zombie,60,High
API0205,EY,Search API,/api/v1/search,DELETE,HR,API Key,True,False,True,2026-05-27 15:05:31.464149,Active,50,Moderate
API0173,Snowflake,Recommendation API,/api/v1/recommendation,POST,Identity,API Key,True,True,False,2025-06-28 15:05:31.463703,Deprecated,10,Low
API0212,SAP,Profile API,/api/v1/profile,PUT,Payments,Basic,True,False,True,2026-05-07 15:05:31.464269,Active,50,Moderate
API0398,Redis,Database API,/api/v1/database,POST,Identity,API Key,True,False,True,2026-04-28 15:05:31.466890,Active,50,Moderate
API0509,Wipro,Authorization API,/api/v1/authorization,DELETE,Payments,API Key,False,False,False,2025-10-14 15:05:31.467846,Deprecated,50,Moderate
API0478,Workday,User API,/api/v1/user,POST,DevOps,None,False,True,False,2025-12-08 15:05:31.467586,Deprecated,60,High
API0211,SAP,User API,/api/v1/user,PUT,HR,OAuth2,False,False,False,2025-07-03 15:05:31.464235,Deprecated,50,Moderate
API0300,TCS,Notification API,/api/v1/notification,DELETE,Payments,API Key,True,False,True,2026-03-13 15:05:31.465976,Active,50,Moderate
API0427,Databricks,Storage API,/api/v1/storage,PUT,Finance,JWT,True,False,False,2025-11-28 15:05:31.467132,Deprecated,20,Low
API0020,AWS,Authentication API,/api/v1/authentication,DELETE,HR,None,True,False,False,2026-01-12 15:05:31.461274,Deprecated,40,Moderate
API0368,ServiceNow,User API,/api/v1/user,DELETE,Identity,Basic,False,False,True,2025-10-29 15:05:31.466644,Zombie,100,Critical
API0057,Oracle,Database API,/api/v1/database,PUT,HR,JWT,False,False,True,2026-02-06 15:05:31.461943,Active,80,High
API0219,SAP,Notification API,/api/v1/notification,PUT,DevOps,OAuth2,False,True,False,2026-06-22 15:05:31.464496,Active,30,Moderate
API0451,Ping Identity,File Upload API,/api/v1/file-upload,POST,HR,None,True,True,True,2026-03-26 15:05:31.467330,Active,60,High
API0439,Accenture,Notification API,/api/v1/notification,GET,HR,Basic,False,False,False,2026-01-01 15:05:31.467228,Deprecated,50,Moderate
API0533,Auth0,User API,/api/v1/user,GET,HR,JWT,True,False,True,2026-04-29 15:05:31.468045,Active,50,Moderate
API0503,Wipro,CRM API,/api/v1/crm,DELETE,Payments,None,True,True,False,2025-07-24 15:05:31.467798,Deprecated,30,Moderate
API0026,AWS,Storage API,/api/v1/storage,POST,Payments,API Key,True,True,False,2026-01-28 15:05:31.461359,Deprecated,10,Low
API0279,Trend Micro,Billing API,/api/v1/billing,POST,HR,OAuth2,False,False,True,2026-05-22 15:05:31.465647,Active,80,High
API0043,Google Cloud,Audit API,/api/v1/audit,POST,Finance,Basic,False,True,True,2026-04-12 15:05:31.461638,Active,70,High
API0440,Accenture,User API,/api/v1/user,PUT,HR,JWT,True,True,False,2026-05-14 15:05:31.467235,Active,0,Low
API0249,Okta,Notification API,/api/v1/notification,PUT,Finance,Basic,False,False,False,2026-01-31 15:05:31.465186,Deprecated,50,Moderate
API0433,Databricks,Customer API,/api/v1/customer,DELETE,DevOps,OAuth2,False,True,False,2025-11-07 15:05:31.467176,Deprecated,40,Moderate
API0334,PayPal,Billing API,/api/v1/billing,POST,Finance,Basic,False,True,True,2025-11-23 15:05:31.466325,Zombie,90,Critical
API0155,Palo Alto Networks,Authentication API,/api/v1/authentication,POST,Identity,None,False,False,False,2025-07-06 15:05:31.463437,Deprecated,70,High
API0127,IBM Cloud,Customer API,/api/v1/customer,POST,Identity,OAuth2,True,False,False,2025-11-01 15:05:31.463014,Deprecated,20,Low
API0276,Trend Micro,Recommendation API,/api/v1/recommendation,PUT,Payments,OAuth2,False,False,True,2025-08-24 15:05:31.465606,Zombie,100,Critical
API0362,ServiceNow,Authentication API,/api/v1/authentication,POST,Finance,OAuth2,True,False,True,2026-03-29 15:05:31.466596,Active,50,Moderate
API0032,Google Cloud,Admin API,/api/v1/admin,GET,DevOps,JWT,False,False,False,2026-05-15 15:05:31.461462,Active,40,Moderate
API0114,Microsoft Azure,Payment API,/api/v1/payment,GET,Storage,None,True,True,False,2026-02-23 15:05:31.462801,Active,20,Low
API0381,Infosys,Analytics API,/api/v1/analytics,POST,Storage,Basic,True,False,True,2025-06-30 15:05:31.466754,Zombie,70,High
API0474,Workday,Billing API,/api/v1/billing,PUT,Identity,JWT,True,False,False,2026-02-19 15:05:31.467551,Deprecated,20,Low
API0370,ServiceNow,Payment API,/api/v1/payment,DELETE,Payments,None,True,False,True,2025-09-17 15:05:31.466659,Zombie,90,Critical
API0058,Oracle,Customer API,/api/v1/customer,DELETE,Storage,Basic,False,False,True,2025-09-23 15:05:31.461956,Zombie,100,Critical
API0333,PayPal,Logging API,/api/v1/logging,GET,DevOps,Basic,True,False,False,2026-05-04 15:05:31.466317,Active,10,Low
API0025,AWS,Database API,/api/v1/database,GET,DevOps,Basic,False,True,True,2026-01-15 15:05:31.461346,Active,70,High
API0018,AWS,Customer API,/api/v1/customer,PUT,CRM,Basic,True,True,False,2026-06-06 15:05:31.461245,Active,0,Low
API0457,Ping Identity,Email API,/api/v1/email,DELETE,Identity,OAuth2,False,True,True,2026-03-28 15:05:31.467379,Active,70,High
API0067,Cisco,Logging API,/api/v1/logging,POST,DevOps,None,True,False,True,2025-10-31 15:05:31.462106,Zombie,90,Critical
API0229,KPMG,Customer API,/api/v1/customer,POST,Analytics,OAuth2,False,False,True,2026-03-10 15:05:31.464882,Active,80,High
API0483,Mastercard,Customer API,/api/v1/customer,DELETE,CRM,Basic,True,True,False,2025-10-19 15:05:31.467631,Deprecated,10,Low
API0514,Stripe,File Upload API,/api/v1/file-upload,GET,DevOps,JWT,True,False,False,2025-07-07 15:05:31.467889,Deprecated,20,Low
API0443,Accenture,Billing API,/api/v1/billing,DELETE,DevOps,API Key,False,False,True,2025-11-07 15:05:31.467258,Zombie,100,Critical
API0095,Cloudflare,Storage API,/api/v1/storage,PUT,Analytics,OAuth2,False,True,False,2025-09-24 15:05:31.462519,Deprecated,40,Moderate
API0185,Deloitte,Audit API,/api/v1/audit,DELETE,Analytics,OAuth2,False,False,False,2026-01-07 15:05:31.463871,Deprecated,50,Moderate
API0292,TCS,Audit API,/api/v1/audit,GET,Finance,OAuth2,True,True,False,2025-10-16 15:05:31.465860,Deprecated,10,Low
API0024,AWS,Logging API,/api/v1/logging,DELETE,Storage,Basic,True,True,False,2025-07-03 15:05:31.461327,Deprecated,10,Low
API0266,Oracle Cloud,CRM API,/api/v1/crm,PUT,HR,OAuth2,False,True,True,2026-04-19 15:05:31.465440,Active,70,High
API0288,TCS,Billing API,/api/v1/billing,PUT,Payments,API Key,True,True,False,2026-03-01 15:05:31.465803,Active,0,Low
API0484,Mastercard,CRM API,/api/v1/crm,PUT,Identity,None,True,True,False,2025-10-20 15:05:31.467639,Deprecated,30,Moderate
API0006,Check Point,Email API,/api/v1/email,POST,CRM,OAuth2,True,False,False,2026-05-10 15:05:31.460421,Active,10,Low
API0117,Microsoft Azure,Authorization API,/api/v1/authorization,POST,Identity,None,True,True,False,2025-11-16 15:05:31.462844,Deprecated,30,Moderate
API0046,Oracle,Billing API,/api/v1/billing,PUT,Analytics,Basic,True,False,True,2025-10-19 15:05:31.461787,Zombie,70,High
API0232,KPMG,Authentication API,/api/v1/authentication,PUT,DevOps,OAuth2,False,True,True,2026-03-06 15:05:31.464919,Active,70,High
API0305,PwC,Storage API,/api/v1/storage,PUT,Identity,OAuth2,False,False,True,2026-06-10 15:05:31.466068,Active,80,High
API0017,AWS,File Upload API,/api/v1/file-upload,PUT,Storage,JWT,False,False,True,2025-07-22 15:05:31.461228,Zombie,100,Critical
API0049,Oracle,CRM API,/api/v1/crm,POST,Finance,Basic,True,True,False,2026-03-09 15:05:31.461848,Active,0,Low
API0396,Redis,User API,/api/v1/user,GET,Payments,None,True,False,False,2025-08-01 15:05:31.466875,Deprecated,40,Moderate
API0004,Check Point,Payment API,/api/v1/payment,DELETE,CRM,API Key,False,True,True,2026-01-28 15:05:31.460401,Active,70,High
API0413,MongoDB,Analytics API,/api/v1/analytics,GET,CRM,None,False,False,True,2026-02-15 15:05:31.467016,Active,100,Critical
API0223,SAP,Database API,/api/v1/database,PUT,Analytics,API Key,False,True,False,2026-06-07 15:05:31.464539,Active,30,Moderate
API0061,Cisco,File Upload API,/api/v1/file-upload,PUT,Finance,API Key,False,True,True,2026-03-14 15:05:31.462023,Active,70,High
API0520,Stripe,Notification API,/api/v1/notification,POST,Storage,Basic,True,True,True,2026-03-10 15:05:31.467934,Active,40,Moderate
API0111,Microsoft Azure,Authentication API,/api/v1/authentication,GET,DevOps,Basic,False,True,True,2026-05-08 15:05:31.462761,Active,70,High
API0354,Visa,Invoice API,/api/v1/invoice,GET,Payments,Basic,True,False,False,2025-08-16 15:05:31.466522,Deprecated,20,Low
API0290,TCS,Customer API,/api/v1/customer,DELETE,CRM,Basic,False,False,False,2025-07-31 15:05:31.465832,Deprecated,50,Moderate
API0030,AWS,Audit API,/api/v1/audit,POST,HR,JWT,False,True,False,2025-11-09 15:05:31.461420,Deprecated,40,Moderate
API0530,Auth0,Database API,/api/v1/database,GET,Identity,JWT,True,False,False,2026-04-06 15:05:31.468023,Active,10,Low
API0453,Ping Identity,Recommendation API,/api/v1/recommendation,GET,Identity,Basic,False,False,False,2026-03-29 15:05:31.467345,Active,40,Moderate
API0027,AWS,User API,/api/v1/user,POST,Payments,Basic,False,True,False,2026-06-07 15:05:31.461371,Active,30,Moderate
API0008,Check Point,Analytics API,/api/v1/analytics,DELETE,Finance,None,False,False,True,2026-05-14 15:05:31.460438,Active,100,Critical
API0182,Deloitte,User API,/api/v1/user,DELETE,CRM,None,False,False,False,2025-08-25 15:05:31.463832,Deprecated,70,High
API0501,Wipro,Analytics API,/api/v1/analytics,POST,Storage,JWT,False,False,False,2025-06-26 15:05:31.467782,Deprecated,50,Moderate
